date,temperature,humidity,wind_speed,outlook
2021-05-19,28.1,85.75,6.37,rainy
2021-05-20,28.65,82.33,7.32,rainy
2021-05-21,27.77,86.33,6.9,rainy
2021-05-22,26.92,88.75,8.45,rainy
2021-05-23,27.21,87.71,8.54,rainy
2021-05-24,27.1,88.42,6.99,rainy
2021-05-25,26.46,91.42,5.86,rainy
2021-05-26,26.4,90.67,8.29,rainy
2021-05-27,26.62,89.96,7.34,rainy
2021-05-28,27.34,87.96,7.49,rainy
2021-05-29,27.94,85.17,6.81,rainy
2021-05-30,28.61,81.96,6.6,sunny
2021-05-31,28.93,84.08,7.96,sunny
2021-06-01,28.71,85.21,6.13,rainy
2021-06-02,28.53,85.38,6.09,sunny
2021-06-03,28.6,84.83,6.7,sunny
2021-06-04,29.3,81.67,8.41,sunny
2021-06-05,28.57,83.42,10.4,rainy
2021-06-06,27.98,85.21,11.5,rainy
2021-06-07,27.63,84.42,12.48,rainy
2021-06-08,26.6,89.29,8.46,rainy
2021-06-09,27.01,88.0,7.59,rainy
2021-06-10,26.65,89.75,9.97,rainy
2021-06-11,27.23,85.0,12.5,rainy
2021-06-12,26.6,86.62,12.17,rainy
2021-06-13,27.39,82.96,13.41,sunny
2021-06-14,27.82,82.29,9.86,sunny
2021-06-15,27.12,87.21,8.06,rainy
2021-06-16,27.29,87.0,7.85,rainy
2021-06-17,28.5,78.42,8.02,sunny
2021-06-18,28.16,81.71,8.25,sunny
2021-06-19,27.73,85.0,7.28,rainy
2021-06-20,27.68,83.79,10.43,rainy
2021-06-21,27.48,85.08,12.97,rainy
2021-06-22,27.3,86.29,10.42,rainy
2021-06-23,27.15,85.96,10.97,rainy
2021-06-24,27.5,84.71,8.64,rainy
2021-06-25,28.12,81.54,10.17,sunny
2021-06-26,28.0,82.25,9.08,sunny
2021-06-27,28.36,79.71,7.2,sunny
2021-06-28,28.0,83.38,9.05,rainy
2021-06-29,28.29,83.08,7.83,sunny
2021-06-30,28.1,83.29,9.07,sunny
2021-07-01,28.19,82.25,8.34,rainy
2021-07-02,28.57,78.17,7.55,sunny
2021-07-03,28.9,81.33,6.05,sunny
2021-07-04,28.45,83.04,6.57,rainy
2021-07-05,26.93,88.54,8.22,rainy
2021-07-06,26.24,91.08,9.39,rainy
2021-07-07,26.42,89.0,11.17,rainy
2021-07-08,25.61,91.12,10.02,rainy
2021-07-09,25.82,88.67,8.06,rainy
2021-07-10,26.79,85.92,7.93,rainy
2021-07-11,27.55,84.25,6.91,rainy
2021-07-12,27.7,84.62,8.58,rainy
2021-07-13,27.16,86.5,6.38,rainy
2021-07-14,26.67,87.17,5.08,rainy
2021-07-15,25.94,90.88,5.55,rainy
2021-07-16,27.7,81.5,8.75,rainy
2021-07-17,27.91,80.46,11.29,rainy
2021-07-18,26.82,88.38,10.22,rainy
2021-07-19,26.67,86.54,9.47,sunny
2021-07-20,27.43,84.12,11.6,rainy
2021-07-21,27.09,86.83,13.05,rainy
2021-07-22,27.05,87.0,11.04,sunny
2021-07-23,27.38,85.38,13.43,rainy
2021-07-24,28.08,81.71,15.3,sunny
2021-07-25,27.26,85.71,15.9,rainy
2021-07-26,27.77,83.38,14.41,sunny
2021-07-27,27.79,83.33,15.28,rainy
2021-07-28,27.41,84.42,15.47,rainy
2021-07-29,26.79,87.75,15.23,rainy
2021-07-30,26.77,88.62,14.52,rainy
2021-07-31,27.62,84.92,12.93,rainy
2021-08-01,27.9,82.62,16.51,sunny
2021-08-02,28.08,82.0,16.16,rainy
2021-08-03,27.93,81.0,17.05,sunny
2021-08-04,28.05,81.42,15.89,sunny
2021-08-05,27.66,84.25,15.1,sunny
2021-08-06,28.08,81.79,14.57,sunny
2021-08-07,28.0,83.5,11.91,sunny
2021-08-08,28.23,82.83,10.22,rainy
2021-08-09,28.47,82.38,10.47,sunny
2021-08-10,27.5,86.92,10.01,rainy
2021-08-11,27.23,87.67,8.9,rainy
2021-08-12,26.85,90.21,7.22,rainy
2021-08-13,26.6,87.75,7.98,rainy
2021-08-14,27.03,88.88,7.2,rainy
2021-08-15,26.85,83.33,6.41,sunny
2021-08-16,27.77,81.25,4.91,sunny
2021-08-17,27.15,87.67,5.32,rainy
2021-08-18,27.24,85.17,5.21,rainy
2021-08-19,27.09,85.38,4.72,rainy
2021-08-20,27.1,86.46,5.4,rainy
2021-08-21,27.45,82.79,5.1,sunny
2021-08-22,27.48,84.12,8.7,rainy
2021-08-23,27.14,85.42,8.25,rainy
2021-08-24,26.45,88.5,8.66,rainy
2021-08-25,25.44,90.92,8.59,rainy
2021-08-26,25.4,91.12,6.24,rainy
2021-08-27,26.42,88.29,5.58,rainy
2021-08-28,25.98,87.29,4.48,rainy
2021-08-29,26.24,87.58,4.97,rainy
2021-08-30,26.31,89.08,5.52,rainy
2021-08-31,26.7,88.12,5.8,rainy
2021-09-01,26.67,87.5,4.48,rainy
2021-09-02,26.65,87.08,6.88,rainy
2021-09-03,26.27,87.29,8.53,rainy
2021-09-04,26.05,88.12,8.0,rainy
2021-09-05,26.09,87.29,7.27,rainy
2021-09-06,26.37,86.75,5.82,rainy
2021-09-07,26.5,87.83,7.57,rainy
2021-09-08,26.73,87.46,10.18,rainy
2021-09-09,26.35,87.5,10.72,rainy
2021-09-10,26.83,86.83,12.18,rainy
2021-09-11,27.22,82.96,15.95,sunny
2021-09-12,27.63,80.75,14.45,sunny
2021-09-13,26.84,86.62,9.91,rainy
2021-09-14,26.17,89.88,8.36,rainy
2021-09-15,26.09,88.54,9.2,rainy
2021-09-16,26.91,87.88,5.4,sunny
2021-09-17,27.14,86.08,4.41,rainy
2021-09-18,27.36,86.25,5.5,rainy
